,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
309,Isak Svensson,f,Göteborgs och Bohus län,Första kammaren,1921,1921,
310,J. Johansson,f. 1868,Gävleborgs län,Första kammaren,1921,1921,
311,J. Johansson i Tränäset,j,Norrbottens län,Första kammaren,1921,1921,
312,Jacob Larsson,f. 1851,Malmöhus län,Första kammaren,1921,1921,
313,Jacob Spens,f. 1861,Jönköpings län,Första kammaren,1921,1921,
314,Jan Berglund,f. 1864,Stockholms stad,Första kammaren,1921,1921,
315,Janne Walles,f. 1871,Västernorrlands län,Första kammaren,1921,1921,
316,Johan Bernhard Johansson,f. 1877,Hallands län,Första kammaren,1921,1921,
317,Johan Carlsson,f. 1864,Värmlands län,Första kammaren,1921,1921,
318,Johan Fredrik Kjellén,f. 1881,Jönköpings län,Första kammaren,1921,1921,
319,Johan Gustaf Carlsson,f. 1884,Blekinge län,Första kammaren,1921,1921,
320,Johan Ingmansson,f. 1845,Blekinge län,Första kammaren,1921,1921,
321,Johan Johansson i Friggeråker,f. 1872,Älvsborgs län,Första kammaren,1921,1921,
322,Johan Johansson i Hornsberg,f. 1874,Jämtlands län,Första kammaren,1921,1921,
323,Johan Nilsson i Malmö,f. 1874,Malmö stad,Första kammaren,1921,1921,
